ID,libelle_zone_d_emploi,code_region,region,code_zone_d_emploi,zone_d_emploi,date,effectifs_salaries_brut,effectifs_salaries_cvs,masse_salariale_brut,masse_salariale_cvs
15575,2411 Pithiviers,24,Centre-Val de Loire,2411,Pithiviers,031998,15304,15365,67117496,70841335
15604,2412 Romorantin-Lanthenay,24,Centre-Val de Loire,2412,Romorantin-Lanthenay,031998,18490,18699,79991124,84219452
15631,2413 Tours,24,Centre-Val de Loire,2413,Tours,031998,120627,122242,552767780,579849962
15733,0056 Cosne-Cours-sur-Loire,24,Centre-Val de Loire,56,Cosne-Cours-sur-Loire,031998,2674,2710,13700206,14574275
15791,0060 Nevers,24,Centre-Val de Loire,60,Nevers,031998,2365,2406,10254661,10790057
15820,0061 Nogent-le-Rotrou,24,Centre-Val de Loire,61,Nogent-le-Rotrou,031998,10135,10254,45505183,47345718
15999,2708 Charolais,27,Bourgogne-Franche-Comté,2708,Charolais,031998,18166,18411,74776058,79347672
16032,2709 Châtillon-Montbard,27,Bourgogne-Franche-Comté,2709,Châtillon-Montbard,031998,11688,11874,47476988,50183642
16068,2710 Creusot-Montceau,27,Bourgogne-Franche-Comté,2710,Creusot-Montceau,031998,24242,24434,108831683,115051851
16337,2706 Besançon,27,Bourgogne-Franche-Comté,2706,Besançon,031998,70929,71284,312034922,325905142
16467,2714 Montbéliard,27,Bourgogne-Franche-Comté,2714,Montbéliard,031998,55033,55906,251815815,269572099
16637,2807 Dieppe-Caux maritime,28,Normandie,2807,Dieppe-Caux maritime,031998,30479,31025,136194469,144282734
16761,2813 Le Havre,28,Normandie,2813,Le Havre,031998,87802,88135,437016303,459126710
16822,2817 Vernon-Gisors,28,Normandie,2817,Vernon-Gisors,031998,28055,28337,135234910,143540799
16856,2819 Yvetot-Vallée du Commerce,28,Normandie,2819,Yvetot-Vallée du Commerce,031998,23179,23459,111519414,117965855
16994,2801 Argentan,28,Normandie,2801,Argentan,031998,8770,8872,36762989,39268942
17037,2802 Avranches,28,Normandie,2802,Avranches,031998,16915,17137,68455404,71882102
17073,2804 Caen,28,Normandie,2804,Caen,031998,113092,114914,509532589,536937522
17177,2809 Flers,28,Normandie,2809,Flers,031998,26537,27159,106774432,113670234
17240,2811 Honfleur Pont-Audemer,28,Normandie,2811,Honfleur Pont-Audemer,031998,8652,9008,35835427,39765190
17302,2814 Lisieux,28,Normandie,2814,Lisieux,031998,18442,18710,69502706,73177373
17334,2816 Saint-Lô,28,Normandie,2816,Saint-Lô,031998,22070,22456,90312608,94473480
17360,2818 Vire Normandie,28,Normandie,2818,Vire Normandie,031998,9311,9376,37238893,38961574
17424,0061 Nogent-le-Rotrou,28,Normandie,61,Nogent-le-Rotrou,031998,4946,4993,20217960,21012266
17520,3209 Château-Thierry,32,Hauts-de-France,3209,Château-Thierry,031998,11563,11717,52245298,54346764
17578,3211 Creil,32,Hauts-de-France,3211,Creil,031998,62341,62828,309039208,324302109
17600,7526 Royan,75,Nouvelle-Aquitaine,7526,Royan,031998,14188,15521,52658992,59772664
17718,7501 Agen,75,Nouvelle-Aquitaine,7501,Agen,031998,28827,29203,126691286,130996317
17853,7505 Bordeaux,75,Nouvelle-Aquitaine,7505,Bordeaux,031998,247800,250220,1235583476,1289116367
18005,7515 Lesparre-Médoc,75,Nouvelle-Aquitaine,7515,Lesparre-Médoc,031998,5733,6161,21817552,24122992
18153,7521 Oloron-Sainte-Marie,75,Nouvelle-Aquitaine,7521,Oloron-Sainte-Marie,031998,12587,12787,51589193,53979749
18191,7522 Pau,75,Nouvelle-Aquitaine,7522,Pau,031998,67956,68761,328549502,342609563
18260,7527 Saint-Junien,75,Nouvelle-Aquitaine,7527,Saint-Junien,031998,12,12,35531,35545
18405,7517 Limoges,75,Nouvelle-Aquitaine,7517,Limoges,031998,68852,69519,310689559,324186540
18691,7610 Castres-Mazamet,76,Occitanie,7610,Castres-Mazamet,031998,31867,32183,139191461,144493401
18722,7611 Figeac-Villefranche,76,Occitanie,7611,Figeac-Villefranche,031998,16612,16842,63580429,66205331
18849,7619 Nord-du-Lot,76,Occitanie,7619,Nord-du-Lot,031998,9272,9727,39676120,40434995
18922,7622 Saint-Gaudens,76,Occitanie,7622,Saint-Gaudens,031998,17307,17599,69028840,71915203
18980,7625 Toulouse,76,Occitanie,7625,Toulouse,031998,259255,260926,1294028262,1342617720
19053,7603 Alès-Le Vigan,76,Occitanie,7603,Alès-Le Vigan,031998,27849,28348,109928349,114242641
19077,7605 Bagnols-sur-Cèze,76,Occitanie,7605,Bagnols-sur-Cèze,031998,14075,14199,76965825,80734130
19107,7606 Béziers,76,Occitanie,7606,Béziers,031998,31606,32635,124859798,132345749
19346,7618 Nîmes,76,Occitanie,7618,Nîmes,031998,60510,61352,254794402,266899484
19569,8402 Aubenas,84,Auvergne-Rhône-Alpes,8402,Aubenas,031998,21149,21820,83232266,89532322
19820,8413 La Tarentaise,84,Auvergne-Rhône-Alpes,8413,La Tarentaise,031998,39407,31624,167947136,141950318
19848,8414 La Vallée de l'Arve,84,Auvergne-Rhône-Alpes,8414,La Vallée de l'Arve,031998,32018,31516,155945223,159649894
19941,8417 Le Livradois,84,Auvergne-Rhône-Alpes,8417,Le Livradois,031998,1020,1040,3642985,3749752
19968,8418 Le Mont Blanc,84,Auvergne-Rhône-Alpes,8418,Le Mont Blanc,031998,17860,16375,77045804,71670555
20164,8426 Roanne,84,Auvergne-Rhône-Alpes,8426,Roanne,031998,34953,35348,146068720,152406905
20292,8431 Valence,84,Auvergne-Rhône-Alpes,8431,Valence,031998,65659,66429,291753978,303168504
20355,8434 Villefranche-sur-Saône,84,Auvergne-Rhône-Alpes,8434,Villefranche-sur-Saône,031998,34092,34360,155568125,161144861
20389,8435 Voiron,84,Auvergne-Rhône-Alpes,8435,Voiron,031998,31999,32388,140063374,145965879
20821,8432 Vichy,84,Auvergne-Rhône-Alpes,8432,Vichy,031998,26013,26472,112049743,116850557
20852,0063 Ussel,84,Auvergne-Rhône-Alpes,63,Ussel,031998,4421,4540,15932931,16537272
20964,9303 Brignoles,93,Provence-Alpes-Côte d'Azur,9303,Brignoles,031998,10515,10655,38017133,39894093
21036,9305 Carpentras,93,Provence-Alpes-Côte d'Azur,9305,Carpentras,031998,11070,11523,44693594,47743606
21289,9313 Martigues-Salon,93,Provence-Alpes-Côte d'Azur,9313,Martigues-Salon,031998,55339,55788,279715051,295048747
21323,9314 Menton,93,Provence-Alpes-Côte d'Azur,9314,Menton,031998,8545,8854,34830564,37399042
21379,9316 Orange,93,Provence-Alpes-Côte d'Azur,9316,Orange,031998,10049,10290,45186680,48541297
21417,9317 Sainte-Maxime,93,Provence-Alpes-Côte d'Azur,9317,Sainte-Maxime,031998,9706,11441,37307626,47695106
21699,9404 Corte,94,Corse,9404,Corte,031998,1237,1318,4770912,5011088
21733,9405 Ghisonaccia,94,Corse,9405,Ghisonaccia,031998,1580,1683,6012736,6460367
21757,9406 Porto-Vecchio,94,Corse,9406,Porto-Vecchio,031998,3205,3862,12279590,15356105
21890,3220 Saint-Quentin,32,Hauts-de-France,3220,Saint-Quentin,031998,58159,59152,253613669,268431285
21917,3221 Soissons,32,Hauts-de-France,3221,Soissons,031998,29863,30329,137214855,144312116
21977,0058 La Vallée de la Bresle-Vimeu,32,Hauts-de-France,58,La Vallée de la Bresle-Vimeu,031998,11517,11676,50178796,52336328
22018,3203 Arras,32,Hauts-de-France,3203,Arras,031998,42364,42968,183637829,191863727
22154,3207 Calais,32,Hauts-de-France,3207,Calais,031998,34281,34955,155342373,163552507
22215,3212 Douai,32,Hauts-de-France,3212,Douai,031998,47132,47788,218911832,229432200
22245,3213 Dunkerque,32,Hauts-de-France,3213,Dunkerque,031998,63340,63823,305648023,327632458
22276,3215 Lens,32,Hauts-de-France,3215,Lens,031998,74374,75054,312587412,330444873
22334,3217 Maubeuge,32,Hauts-de-France,3217,Maubeuge,031998,37828,38349,173691789,182928938
22552,4406 Épernay,44,Grand Est,4406,Épernay,031998,17927,18075,85747433,92611638
22615,4415 Romilly-sur-Seine,44,Grand Est,4415,Romilly-sur-Seine,031998,17897,18037,78057383,83396048
22640,4421 Sedan,44,Grand Est,4421,Sedan,031998,16265,16464,75023204,79931842
22739,4404 Chaumont,44,Grand Est,4404,Chaumont,031998,4124,4183,16141837,16814976
22886,4414 Remiremont,44,Grand Est,4414,Remiremont,031998,25824,25982,108650821,112098855
22918,4416 Saint-Avold,44,Grand Est,4416,Saint-Avold,031998,29483,30117,129113021,137982952
22982,4419 Sarrebourg,44,Grand Est,4419,Sarrebourg,031998,17322,17537,72395588,77116791
23013,4420 Sarreguemines,44,Grand Est,4420,Sarreguemines,031998,21655,21975,95503548,100347751
23085,4424 Thionville,44,Grand Est,4424,Thionville,031998,59743,60513,273235443,290562252
23172,4405 Colmar,44,Grand Est,4405,Colmar,031998,52160,52943,248728438,265649422
23204,4409 Haguenau,44,Grand Est,4409,Haguenau,031998,57235,57992,268678126,285151342
